AAPL,MSFT,UNH,KO,DIS,GS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
30,4,5,24,24,13,0.889800108318063665002739526244,48469.872150407703884411603212356567,54472.764947205308999400585889816284,2,160,acc right
30,7,3,24,23,13,0.890522163490393592333305150532,46948.024690425816515926271677017212,52719.658886886609252542257308959961,1,160,look letf
30,7,3,24,24,12,0.893310968699033813855692187644,47128.007031108470982871949672698975,52756.552513558592181652784347534180,1,160,look letf
30,6,2,25,24,13,0.892813956315247958528402705269,47426.365964965269085951149463653564,53120.099242959491675719618797302246,1,160,look right
30,6,4,23,24,13,0.890199990252644068888798756234,48543.769540924207831267267465591431,54531.307652730029076337814331054688,1,160,look letf
30,6,2,24,25,13,0.891739599313645103784153889137,48779.015430383537022862583398818970,54700.963675862112722825258970260620,1,160,look right
30,6,4,24,23,13,0.887971238827914954860887064569,47191.120075505845306906849145889282,53144.874531968125666026026010513306,1,160,look letf
30,6,2,24,24,14,0.892080286417549439548224654573,48593.719592268185806460678577423096,54472.361212478674133308231830596924,1,160,look right
30,6,4,24,24,12,0.893947996816703338573972814629,47371.102416188477945979684591293335,52990.892741942720022052526473999023,1,160,look letf
30,6,6,24,24,10,0.888321043231313445254215821478,46150.823533675611543003469705581665,51952.865335486843832768499851226807,2,160,acc letf
30,6,5,24,24,11,0.892137251776389916813059244305,46762.450576864983304403722286224365,52416.206680926465196534991264343262,1,160,dec letf
30,6,4,23,25,12,0.893420472551712530062673067732,48723.751881606789538636803627014160,54536.193627224703959655016660690308,1,160,look right
30,6,4,25,23,12,0.890602198287667512488496868173,46018.452950770151801407337188720703,51671.164790799266484100371599197388,1,160,look letf
30,6,4,25,24,11,0.887240865771746101131611794699,46203.748788885539397597312927246094,52075.767214234736457001417875289917,1,160,look letf
30,6,4,24,25,11,0.888183561081126615732728168950,47556.398254303792782593518495559692,53543.434418462507892400026321411133,1,160,look letf
32,6,3,22,24,13,0.892358100617071325899587463937,48749.121766837793984450399875640869,54629.550326407596003264188766479492,1,160,Resultant Force1 2
31,7,3,22,24,13,0.890828102899955620586069926503,48682.487224403492291457951068878174,54648.575932803476462140679359436035,1,160,look right
