AAPL,MSFT,UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
18,21,16,20,25,0.844247490946446133008862489078,51525.615327695551968645304441452026,61031.410670741359353996813297271729,1,102,Local Search 0 2
16,21,18,20,25,0.843547932580644421740601046622,51878.537012987006164621561765670776,61500.402062839908467140048742294312,1,102,Local Search 0 2
18,21,17,19,25,0.844237727260337078583063430415,51586.028417396555596496909856796265,61103.675838794872106518596410751343,1,102,Local Search 0 3
16,21,17,21,25,0.845554884264985484598753373575,51818.704297795236925594508647918701,61283.667402429615322034806013107300,1,117,Local Search 0 3
15,21,17,22,25,0.845576063444195002993808429892,51935.855986106966156512498855590820,61420.679027457532356493175029754639,1,118,Local Search 0 3
14,21,17,23,25,0.845180027418268697836367664422,52051.903739051711454521864652633667,61586.765009168746473733335733413696,1,118,Local Search 0 3
16,21,17,22,24,0.845294869261104531155126551312,50964.923905164643656462430953979492,60292.479888958136143628507852554321,1,118,Local Search 0 4
14,21,17,22,26,0.843954339570049949514896070468,52906.264506191495456732809543609619,62688.538971367146586999297142028809,1,118,Local Search 0 4
15,22,16,22,25,0.844928893736937358660554764356,51693.453787375437968876212835311890,61180.833287339126400183886289596558,1,118,Local Search 1 2
15,20,18,22,25,0.845106055189737470634270266601,52178.258184838472516275942325592041,61741.668828918474901001900434494019,1,118,Local Search 1 2
15,22,17,21,25,0.845727535681880082663042230706,51753.286502567221759818494319915771,61193.805710535823891405016183853149,1,124,Local Search 1 3
15,23,17,20,25,0.844193549961331224373850545817,51570.023832678984035737812519073486,61087.915010771139350254088640213013,1,124,Local Search 1 3
15,23,17,21,24,0.844461954840021844503894499212,50716.243440048368938732892274856567,60057.463985640715691260993480682373,1,124,Local Search 1 4
15,21,17,21,26,0.844125427905034531050887380843,52789.636378737552149686962366104126,62537.668732183330575935542583465576,1,124,Local Search 1 4
15,22,18,20,25,0.842445551440650475250038198283,51813.119217758998274803161621093750,61503.226088801049627363681793212891,1,124,Local Search 2 3
15,22,16,22,25,0.844928893736937358660554764356,51693.453787375437968876212835311890,61180.833287339126400183886289596558,1,124,Local Search 2 3
15,22,18,21,24,0.842404438259146237655272670963,50959.338825128419557586312294006348,60492.723578756784263532608747482300,1,124,Local Search 2 4
15,22,16,21,26,0.843257706054643452198149589094,52547.234180006038513965904712677002,62314.561494918561947997659444808960,1,124,Local Search 2 4
15,22,17,22,24,0.845647289863075357629895734135,50899.506109936635766644030809402466,60189.994954253481409978121519088745,1,124,Local Search 3 4
15,22,17,20,26,0.843889963456131653174452367239,52607.066895197836856823414564132690,62338.775401175320439506322145462036,1,124,Local Search 3 4
16,21,17,21,25,0.845554884264985484598753373575,51818.704297795236925594508647918701,61283.667402429615322034806013107300,1,124,Local Search 0 1
14,23,17,21,25,0.845351045338757933755857720826,51686.651960132898238953202962875366,61142.234631555322266649454832077026,1,124,Local Search 0 1
16,22,16,21,25,0.845176343786584571837749990664,51576.302099063759669661521911621094,61024.308688042612629942595958709717,1,124,Local Search 0 2
14,22,18,21,25,0.843860712470974494436859458801,51929.747345212941581849008798599243,61538.292490419880778063088655471802,1,124,Local Search 0 2
16,22,17,20,25,0.844926123921919680626047011174,51636.134814255514356773346662521362,61113.194813499758311081677675247192,1,124,Local Search 0 3
14,22,17,22,25,0.846100989490657484637381458015,51869.914630021143238991498947143555,61304.637713810261629987508058547974,1,139,Local Search 0 3
13,22,17,23,25,0.846051245164240461882343424804,51985.962382965888537000864744186401,61445.406150160641118418425321578979,1,139,Local Search 0 3
15,22,17,22,24,0.845647289863075357629895734135,50899.506109936635766644030809402466,60189.994954253481409978121519088745,1,139,Local Search 0 4
13,22,17,22,26,0.844629084155651632670469552977,52840.323150105738022830337285995483,62560.387916227744426578283309936523,1,139,Local Search 0 4
14,23,16,22,25,0.845834602027590753969832348957,51626.819244941099896095693111419678,61036.542039287553052417933940887451,1,139,Local Search 1 2
14,21,18,22,25,0.845250446401841770693863509223,52112.316828752656874712556600570679,61653.107727526548842433840036392212,1,139,Local Search 1 2
14,23,17,21,25,0.845351045338757933755857720826,51686.651960132898238953202962875366,61142.234631555322266649454832077026,1,139,Local Search 1 3
14,21,17,23,25,0.845180027418268697836367664422,52051.903739051711454521864652633667,61586.765009168746473733335733413696,1,139,Local Search 1 3
14,23,17,22,24,0.845435015333796391345799747796,50832.871567502297693863511085510254,60126.290779939314234070479869842529,1,139,Local Search 1 4
14,21,17,22,26,0.843954339570049949514896070468,52906.264506191495456732809543609619,62688.538971367146586999297142028809,1,139,Local Search 1 4
14,22,18,21,25,0.843860712470974494436859458801,51929.747345212941581849008798599243,61538.292490419880778063088655471802,1,139,Local Search 2 3
14,22,16,23,25,0.844265302926404448413677528151,51809.501540320139611139893531799316,61366.375428123486926779150962829590,1,139,Local Search 2 3
14,22,18,22,24,0.843647163401849642383467653417,51075.966952582341036759316921234131,60541.858217869237705599516630172729,1,139,Local Search 2 4
14,22,16,22,26,0.842830998209173065660593238135,52663.862307460018200799822807312012,62484.486711284851480741053819656372,1,139,Local Search 2 4
14,22,17,23,24,0.845812098812638080147507935180,51015.553862881344684865325689315796,60315.469516808327171020209789276123,1,139,Local Search 3 4
14,22,17,21,26,0.844464063629142613898181934928,52723.695022651794715784490108489990,62434.504075955672306008636951446533,1,139,Local Search 3 4
15,21,17,22,25,0.845576063444195002993808429892,51935.855986106966156512498855590820,61420.679027457532356493175029754639,1,139,Local Search 0 1
13,23,17,22,25,0.846079088172953408530929664266,51803.280087586863373871892690658569,61227.467752987846324685961008071899,1,139,Local Search 0 1
15,22,16,22,25,0.844928893736937358660554764356,51693.453787375437968876212835311890,61180.833287339126400183886289596558,1,139,Local Search 0 2
13,22,18,22,25,0.844852306460498581053286670794,52046.375472666877612937241792678833,61604.111244857362180482596158981323,1,139,Local Search 0 2
15,23,16,21,25,0.845730683863099463870582894742,51510.191117487200244795531034469604,60906.139626152296841610223054885864,1,139,Local Search add01/miner23
15,23,16,22,24,0.845901758485215982119598265854,50656.410724856570595875382423400879,59884.508120149395836051553487777710,1,139,Local Search add01/miner24
15,23,17,21,24,0.844461954840021844503894499212,50716.243440048368938732892274856567,60057.463985640715691260993480682373,1,139,Local Search add01/miner34
15,21,18,21,25,0.844611035835786672087976967305,51995.688701298735395539551973342896,61561.697035898054309654980897903442,1,139,Local Search add02/miner13
15,21,18,22,24,0.844249378915287174152126681292,51141.908308668120298534631729125977,60576.779309422207006718963384628296,1,139,Local Search add02/miner14
